=== MATCH DEBUG ===
validApplicants: 101
  App: dummy_test_3 session:03
  App: dummy_test_5 session:05
  App: dummy_test_14 session:06
  App: dummy_test_15 session:03
  App: dummy_test_16 session:04
  App: dummy_test_22 session:04
  App: dummy_test_23 session:05
  App: dummy_test_27 session:03
  App: dummy_test_28 session:04
  App: dummy_test_29 session:05
  App: dummy_test_31 session:02
  App: dummy_test_39 session:03
  App: dummy_test_50 session:06
  App: dummy_test_65 session:05
  App: dummy_test_69 session:03
  App: dummy_test_72 session:01
  App: dummy_test_73 session:02
  App: dummy_test_75 session:03
  App: dummy_test_78 session:01
  App: dummy_test_85 session:02
  App: dummy_test_90 session:01
  App: dummy_test_94 session:04
  App: dummy_test_95 session:05
  App: dummy_test_99 session:03
  App: dummy_test_2 session:06
  App: dummy_test_12 session:01
  App: dummy_test_17 session:05
  App: dummy_test_20 session:06
  App: dummy_test_26 session:06
  App: dummy_test_34 session:04
  App: dummy_test_40 session:04
  App: dummy_test_44 session:06
  App: dummy_test_45 session:03
  App: dummy_test_47 session:05
  App: dummy_test_57 session:03
  App: dummy_test_59 session:05
  App: dummy_test_61 session:02
  App: dummy_test_66 session:01
  App: dummy_test_79 session:02
  App: dummy_test_84 session:01
  App: dummy_test_88 session:04
  App: dummy_test_97 session:02
  App: dummy_test_1 session:02
  App: dummy_test_6 session:01
  App: dummy_test_9 session:03
  App: dummy_test_10 session:04
  App: dummy_test_11 session:05
  App: dummy_test_18 session:01
  App: dummy_test_33 session:03
  App: dummy_test_35 session:05
  App: dummy_test_37 session:02
  App: dummy_test_38 session:06
  App: dummy_test_41 session:05
  App: dummy_test_42 session:01
  App: dummy_test_43 session:02
  App: dummy_test_46 session:04
  App: dummy_test_49 session:02
  App: dummy_test_52 session:04
  App: dummy_test_58 session:04
  App: dummy_test_63 session:03
  App: dummy_test_68 session:06
  App: dummy_test_70 session:04
  App: dummy_test_77 session:05
  App: dummy_test_82 session:04
  App: dummy_test_83 session:05
  App: dummy_test_87 session:03
  App: dummy_test_89 session:05
  App: dummy_test_93 session:03
  App: dummy_test_96 session:01
  App: dummy_test_98 session:06
  App: dummy_test_4 session:04
  App: dummy_test_32 session:06
  App: dummy_test_36 session:01
  App: dummy_test_51 session:03
  App: dummy_test_54 session:01
  App: dummy_test_56 session:06
  App: dummy_test_60 session:01
  App: dummy_test_62 session:06
  App: dummy_test_64 session:04
  App: dummy_test_67 session:02
  App: dummy_test_74 session:06
  App: dummy_test_76 session:04
  App: dummy_test_81 session:03
  App: dummy_test_86 session:06
  App: dummy_test_92 session:06
  App: snyun session:01
  App: dummy_test_7 session:02
  App: dummy_test_8 session:06
  App: dummy_test_13 session:02
  App: dummy_test_19 session:02
  App: dummy_test_21 session:03
  App: dummy_test_24 session:01
  App: dummy_test_25 session:02
  App: dummy_test_30 session:01
  App: dummy_test_48 session:01
  App: dummy_test_53 session:05
  App: dummy_test_55 session:02
  App: dummy_test_71 session:05
  App: dummy_test_80 session:06
  App: dummy_test_91 session:02
  App: dummy_test_100 session:04
