                  List of tables
 Schema |         Name          | Type  |  Owner   
--------+-----------------------+-------+----------
 public | bandi_vote            | table | postgres
 public | bandi_vote_option     | table | postgres
 public | bn_chat_message       | table | postgres
 public | bn_chat_message_read  | table | postgres
 public | bn_chat_room          | table | postgres
 public | bn_evaluation         | table | postgres
 public | bn_evaluation_result  | table | postgres
 public | bn_group              | table | postgres
 public | bn_notice             | table | postgres
 public | bn_notice_attachment  | table | postgres
 public | bn_notice_detail      | table | postgres
 public | bn_payment            | table | postgres
 public | bn_payment_history    | table | postgres
 public | bn_payment_user       | table | postgres
 public | bn_plan_schedule      | table | postgres
 public | bn_plan_schedule_like | table | postgres
 public | bn_plan_schedule_time | table | postgres
 public | bn_schedule           | table | postgres
 public | bn_session            | table | postgres
 public | bn_user               | table | postgres
 public | bn_vote               | table | postgres
 public | bn_vote_item          | table | postgres
 public | bn_vote_join          | table | postgres
 public | bn_vote_question      | table | postgres
 public | bn_vote_result        | table | postgres
 public | cm_ad_banner          | table | postgres
 public | cm_attachment         | table | postgres
 public | cm_board              | table | postgres
 public | cm_board_attachment   | table | postgres
 public | cm_board_detail       | table | postgres
 public | cm_board_detail_like  | table | postgres
 public | cm_board_like         | table | postgres
 public | cm_comm               | table | postgres
 public | cm_comm_detail        | table | postgres
 public | cm_notice             | table | postgres
 public | cm_notice_attachment  | table | postgres
 public | cm_notice_detail      | table | postgres
 public | cm_scrap              | table | postgres
 public | cn_bn_gather          | table | postgres
 public | cn_bn_gather_apply    | table | postgres
 public | cn_bn_gather_weight   | table | postgres
 public | cn_bn_match_result    | table | postgres
 public | cn_bn_match_room      | table | postgres
 public | cn_bn_session         | table | postgres
 public | cn_board              | table | postgres
 public | cn_board_attachment   | table | postgres
 public | cn_board_detail       | table | postgres
 public | cn_board_detail_like  | table | postgres
 public | cn_board_like         | table | postgres
 public | cn_board_type         | table | postgres
 public | cn_chat_message       | table | postgres
 public | cn_chat_message_read  | table | postgres
 public | cn_chat_room          | table | postgres
 public | cn_group              | table | postgres
 public | cn_notice             | table | postgres
 public | cn_notice_attachment  | table | postgres
 public | cn_notice_detail      | table | postgres
 public | cn_schedule           | table | postgres
 public | cn_user               | table | postgres
 public | cn_vote               | table | postgres
 public | cn_vote_item          | table | postgres
 public | cn_vote_join          | table | postgres
 public | cn_vote_question      | table | postgres
 public | cn_vote_result        | table | postgres
 public | mm_chat_message       | table | postgres
 public | mm_chat_message_read  | table | postgres
 public | mm_chat_room          | table | postgres
 public | mm_group_friend       | table | postgres
 public | mm_qa                 | table | postgres
 public | mm_user               | table | postgres
 public | mm_user_account       | table | postgres
 public | mm_user_session_skill | table | postgres
(72 rows)

